rusher_player_name,sp,yards_gained,air_yards,yards_after_catch,first_down_rush,first_down_pass,fumble,touchdown,pass_touchdown,rush_touchdown
K.Drake,0,10,,,1.0,0.0,0.0,0.0,0.0,0.0
K.Drake,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Henry,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
M.Mariota,0,7,,,1.0,0.0,0.0,0.0,0.0,0.0
D.Henry,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Henry,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
K.Drake,0,6,,,1.0,0.0,0.0,0.0,0.0,0.0
F.Gore,0,10,,,1.0,0.0,0.0,0.0,0.0,0.0
F.Gore,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
A.Wilson,0,5,,,1.0,0.0,0.0,0.0,0.0,0.0
F.Gore,0,21,,,1.0,0.0,0.0,0.0,0.0,0.0
D.Lewis,0,-5,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Lewis,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
M.Mariota,0,6,,,0.0,0.0,0.0,0.0,0.0,0.0
K.Drake,0,8,,,0.0,0.0,0.0,0.0,0.0,0.0
K.Drake,0,16,,,1.0,0.0,0.0,0.0,0.0,0.0
F.Gore,0,8,,,0.0,0.0,0.0,0.0,0.0,0.0
F.Gore,0,3,,,1.0,0.0,0.0,0.0,0.0,0.0
A.Wilson,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
K.Drake,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
R.Tannehill,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Lewis,0,9,,,0.0,0.0,0.0,0.0,0.0,0.0
M.Mariota,0,2,,,1.0,0.0,0.0,0.0,0.0,0.0
D.Lewis,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Lewis,0,6,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Lewis,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
R.Tannehill,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
F.Gore,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Henry,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Henry,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
K.Drake,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
K.Drake,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
K.Drake,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Lewis,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
K.Drake,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
F.Gore,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
F.Gore,0,8,,,0.0,0.0,0.0,0.0,0.0,0.0
